bn:00000004n	صفر 0
bn:00000005n	1 ۱ ایک‎ ١‎ ایک پہلا ايك
bn:00000008n	10 دس‎ دس دسواں
bn:00000009n	100 سو
bn:00000010n	1000 1100 1200 سہاس‎ سہسر‎ ہزار‎ ۱۰۰۰‎ ہزار
bn:00000013n	ملین 1000000 ملين
bn:00000020n	بارہ درجن 12 بارہ‎ بارہواں
bn:00000024n	چودہ 14 چودہ‎ چودہواں
bn:00000027n	پندرہ 15 پندرہ‎ پندرہواں
bn:00000031n	
bn:00000032n	سولہ 16 سولہ‎ سولہواں
bn:00000034n	سترہ 17 سترہ‎ سترہواں
bn:00000052n	19 انیس انیس‎ انيس انيسواں انیسواں
bn:00000058n	1960ء_کی_دہائی 1960_كي_دہائي 1960_کی_دہائی 1960ء_كي_دہائي
bn:00000075n	2 دو‎ دو دوسرا
bn:00000079n	20 بیس بیس‎ ۲۰‎ بيس بيسواں بیسواں
bn:00000081n	21 اکیس اکیس‎ اكيس اكيسواں اکیسواں
bn:00000082n	22 بائیس بائیس‎ بائيس بائيسواں بائیسواں
bn:00000085n	24 چوبیس چوبیس‎ چوبيس چوبيسواں چوبیسواں
bn:00000086n	دن day دنوں
bn:00000089n	25 پچیس پچیس‎ پچيس پچيسواں پچیسواں
bn:00000092n	28 اٹھائیس اٹھائیس‎ اٹھائيس اٹھائيسواں اٹھائیسواں
bn:00000093n	29 انتیس انتیس‎ انتيس انتيسواں انتیسواں
bn:00000100n	3 تيسرا تين تیسرا تین
bn:00000104n	30 تیس تیس‎ تيس تيسواں تیسواں
bn:00000105n	
bn:00000111n	4 چار چوتھا
bn:00000119n	5 پانچ پانچواں
bn:00000123n	پچاس 50 پچاس‎ پچاسواں
bn:00000125n	6 چھہ‎ چھ چھٹا
bn:00000127n	گھنٹہ گھنٹا ساعَت‎ گَھنْٹا‎ گَھنْٹہ‎ گھنٹوں گھنٹے
bn:00000133n	8 ۸ آٹ آٹھ آٹھواں اٹھ اٹھواں
bn:00000138n	9 ۹ 0 نو نواں
bn:00000141n	ångström
bn:00000193n	بی_اے فاضل_الفنیات بی.اے. بي.اے. بي_اے فاضل_الفنيات
bn:00000213n	الگ_تھلگ
bn:00000234n	ایبی ایبے ايبے
bn:00000237n	
bn:00000249n	
bn:00000266n	
bn:00000288n	
bn:00000300n	
bn:00000317n	یوگیتا‎ یوگیتو‎
bn:00000318n	
bn:00000330n	
bn:00000350n	
bn:00000351n	اصلی_النسل_آسٹریلوی ایب_اوریجنل
bn:00000355n	گھر home
bn:00000356n	
bn:00000360n	
bn:00000372n	اسقاط اسقاط‎ اسقاط_حمل
bn:00000397n	
bn:00000418n	
bn:00000427n	
bn:00000428n	غیر_حاضری‎
bn:00000440n	
bn:00000443n	
bn:00000475n	
bn:00000488n	
bn:00000489n	
bn:00000497n	
bn:00000503n	
bn:00000554n	اسناد_تعلیم academic_degrees educational_degree اسناد_تعليم تعليمي_اسناد تعليمي_سند تعلیمی_اسناد تعلیمی_سند درسي_اسناد درسی_اسناد سند_تعليم سند_تعلیم
bn:00000562n	
bn:00000567n	
bn:00000568n	اکیڈیمی اکادمی جامعہ یونیورسٹی اكيڈيمي
bn:00000628n	
bn:00000629n	
bn:00000633n	
bn:00000638n	
bn:00000639n	
bn:00000640n	لہجہ بولی‎ لہجہ‎ لہجهٔ
bn:00000641n	لہجہ
bn:00000662n	
bn:00000663n	رَسائی‎ پَہُن٘چ‎
bn:00000677n	
bn:00000678n	
bn:00000690n	حادثہ سانحہ
bn:00000694n	
bn:00000703n	
bn:00000704n	اعزاز
bn:00000706n	
bn:00000717n	
bn:00000722n	جرم_میں_ساتھی‎ شَرِیکِ_جُر٘م‎
bn:00000724n	
bn:00000725n	ہنر یوگیتا skill
bn:00000726n	
bn:00000727n	
bn:00000728n	بین_الاقوامی_معاہدہ
bn:00000738n	کرانیکل
bn:00000739n	
bn:00000741n	
bn:00000745n	
bn:00000748n	
bn:00000753n	محاسب حساب_دار
bn:00000755n	
bn:00000766n	
bn:00000772n	
bn:00000774n	ثقافتی_قبولیت ثقافت_پذیری
bn:00000775n	
bn:00000777n	
bn:00000779n	
bn:00000782n	سچائی‎ سچ‎
bn:00000784n	
bn:00000789n	
bn:00000790n	سٹار‎
bn:00000798n	
bn:00000819n	
bn:00000825n	
bn:00000843n	
bn:00000845n	
bn:00000870n	
bn:00000937n	
