Abacus	अकगणक
Ab_initio	आरम्भ_से
Abem	पूरा_आड़े
Abide_by_the_rules	नियमों_का_पालन_करना
Abnormal_increase	असामान्य_वृद्धि
Abolish	मिटा_देना__खत्म_करना
Aboriginal	आदिम__प्राचीन
Aborted_take_off	विफल_उत्पन
Above_cited/_mentioned	ऊपर_दिया_हुआ__ऊपर_उल्लिखित__उपर्युक्त
Above_gound_level	भूमि_तल_से_ऊपर
Abridgement	संक्षेपण
Abrogation	निराकरण
Abrupt_wave	आकस्मिक_तंरग
Absence_without_permission	बिना_अनुमति_गैर_हाजिरी/अनुपस्थिति
Absent_without_leave	बिना_छुट्टी_लिए_अनुपस्थित
Absolve	विमुक्त_करना__दोष_रहित_सिद्ध_करना
Absolute	निरपेक्ष__परम
Absorb	सोखना__अवशोषण_करना
Absorber	अवशोषण
Absorption	आमेलन__विलयन
Abstract_budget	संक्षिप्त_बजट
Abuse_of_Rule	नियम_का_दुरुपयोग
Academic_council	शैक्षणिक_परिषद्
Academic_courses	शैक्षणिक_पाठ्यक्रम
Acceptance_note	स्वीकृति_पत्र
Accepted_provisionally	अनन्तिम_रूप_से_स्वीकृत
Accepted_tenders	स्वीकृत_निविदाएं
Accession_number	अधिमिलन_संख्या
Accessory	उपसाधन
Accident	दुर्घटना
Acclimatization	परिस्थिति-अनुकूलन__दशानुकूलन
Accommodating_terms	सुविधाजनक_शर्ते
Accompanying_letter	संलग्न_पत्र
Accord	समझौता__प्रदान_करना__देना__अनुरूप_होना__मेल
Accumulation	संचयन
Across	आर-पार
Act_of_omission_and_commission	भूल-चूक
Action_taken_report	कार्रवाई_रिपोर्ट/की_गई_कार्यवाही_संबंधी_प्रतिवेदन
Active_consideration	तत्परता_से_विचार__सक्रिय_रूप_से_विचार
Active_air	सक्रिय_वायु
Acton	एक्टन/ऐच्छिक_संचालन
Actual_entry	वास्तविक_प्रविष्टि
Ad_infinitum	निरवधि__अनंत_तक
Ad_interim	अन्तःकालीन__अन्तरिम
Ad_valorem	यथामूल्य__मूल्यानुसार
Adaptation	अनुकूलन
Adapted_to_our_needs	अपनी_आवष्यकता_के_अनुसार_अनुकूलित
Addendum	प्रिशिष्ट__अनुबंध__अनुशेष
Adjournment	विधेयक_पर_चर्चा_का_स्थगन
Adjournment_of_Rajya_Sabha	राज्य_सभा_का_स्थगन
Adjudication	अधिनिर्णय__न्याय_निर्णयन
Adjusting_entry	समायोजन_प्रविष्टि
Adjustment	समायोजन
Adjustment_account	समायोजन_लेखा
Administer	प्रभाव_में_लाना__प्रशासन_करना__संचालन_करना__प्रबंध_करना
Administrative	प्रशासनिक
Administrative_head	प्रशासी_प्रधान__मद__शीर्ष
Administrative_tribunal	प्रशासनिक_अधिकरण
Admissibility	ग्राह्यता__स्वीकार्यता
Admissible	ग्राह्य__स्वीकार्य
Admissible_value	स्वीकार्य_मूल्य
Admission_of_Notice	सूचना_स्वीकार_किया_जाना
Admitted	गृहीत__स्वीकृत
Admitted_Motions	गृहीत_प्रस्ताव
Admonish	भर्त्सना_करना
Adopt_the_Motion	प्रस्ताव_स्वीकार_करना
Adopted_by_the_House	सभा_द्वारा_स्वीकार_किया_गया
Adulteration	मिलावट__अपमिश्रण
Advance_Notice	पूर्व_सूचना__अग्रिम_सूचना
Advance_publicity_of_notices	सूचनाओं_का_पहले_से_प्रचार
Advance_Sheets	अग्रिम_पत्र
Advice_of_dispatch	प्रेषण_की_सूचना
Advice_of_payment	भुगतान-संज्ञापन
Advisory_Committee	सलाहकार_समिति
Advocate_General	महाध्विक्ता
Aerial_weight	एरियल_भार
Aerobatics	हवाई_कलाबाजी
Aerodrome	हवाईअड्डा
Affirmation	प्रतिज्ञान
After_Consultation_with	से_परामर्श_करके
Agenda	कार्यसूची
Agenda_for_the_day	दिवस_की_कार्यसूची
Agenda_Papers	कार्यसूची_संबंधित_पत्र
Aggregation	समुच्चय__समूह
Aggrieved	व्यथित
Agrarian	भूमि_संबंधित__कृषिक
Agreed_to_the_Bill	बिल_पर_सहमति_प्रकट_कर_दी_है
Agreement	करार__समझौता
Aircraft	विमान
Aircraft_distance	आकाशीय_दूरी
Airfield	विमान_क्षेत्र
Air_flow	वायु-प्रवाह
Air_Traffic_Services	विमान_यातायात_सेवायें
Airline_Transport_Pilot's_Licence	एयरलाइन_परिवाहन_पायलट_लाइसेंस
Air_Motion	वायु_गति
Airport_/	विमानपत्तन_हवाई_अड्डा
Air_space	वायु_आकाश
Air_strip	हवाई_पट्टी
Air_talks	विमान_वार्ता
Airway	वायुपथ/वायुमार्ग
Airways	विमान_सेवा
Airworthiness	उड़ानयोग्यता
Allegation	आरोप__दोषारोपण
Allegiance	निष्ठा__राज्य_निष्ठा
Alliance	मैत्री__गठबन्धन
Allocation	निर्धारण__आवंटन
Allocation_of_business	कार्य_आवंटन
Allocation_of_funds	निधि_आवंटन
Allotment	आवंटन
Allow	अनुमति_देना
Allowances	भत्ते
Alteration	परिवर्तन
Altitudes_/	उँचाई_तुंगता
Amalgamation	समामेलन__समाहित_करना
Ambit	विस्तार_क्षेत्र__दायरा
Amelioration	बेहतरी__निवारण__निराकरण
Amending_Bill	संशोधनकारी_विधेयक__संशोधित_विधेयक
Amendment	संशोधन__सुधर
Amenities	सुख-सुविधएँ
Amortization	परिशोधन
Amplitude	आयाम__कोणांक
Analogous	अनुरूप
Ancillary	अनुशंगी__सहायक__गौण
Ancillary_motion	सहायक_प्रस्ताव
Ancillary_powers	आनुशंगिक_शक्तियां
Anemometer	वायुवेगमापी
Anglo-Indian	आंग्ल-भारतीय
Annexure	अनुपत्र
Announcement	घोषणा
Annual_Financial_Statement	वार्षिक_वित्तीय_विवरण
Annual_Report	वार्षिक_प्रतिवेदन
Annuity	वार्षिकी
Antecedent	पूर्वगामी__पूर्ववृत्त
Anticipating_discussion	चर्चा_की_प्रत्याशा
Anticlockwise	वामावर्त__विपरीत_दिशा_से
Antiquities	पुरावशेष
Apex	शीर्ष__उच्च
Appendant	उपाबन्ध__संलग्नक
Appendix	परिशिष्ट
