bn:00000004n	शून्य जीरो 0 शून्य_समारोह
bn:00000005n	एक १ इक प्रथम 1 multiplicative_पहचान n_टपल tuples इक्का एकता छगुना टपल
bn:00000008n	दस १० दश दह 10
bn:00000009n	१०० 100 एक_सी सौ
bn:00000010n	१००० ११०० १२०० सहस्र सहास हज़ार हजार 1000 एक_हज़ार तू सहस्त्र
bn:00000013n	मिलियन लाख 1000000 एक_हजार_हजार मेग
bn:00000020n	बारह १२ 12 दर्जन बारहवीं
bn:00000024n	चौदह १४ 14 xiv
bn:00000027n	१५ पंद्रह 15 xv
bn:00000031n	15_मिनट घंटे_के_एक_-_चौथाई
bn:00000032n	सोलह १६ 16 xvi
bn:00000034n	सत्रह १७ 17 xvii
bn:00000052n	उन्नीस १९ 19 xix
bn:00000058n	1960_के_दशक
bn:00000075n	दो २ दुई द्वि 2 द्वितीय ब्रेस
bn:00000079n	२० बीस कोड़ी बीह वीह 20
bn:00000081n	२१ इक्कीस 21 xxi
bn:00000082n	बाईस २२ 22 xxii
bn:00000085n	चौबीस २४ 24 xxiv दो_दर्जन_से_अधिक
bn:00000086n	दिन 24_घंटे_के_अंतराल चौबीस_घंटे_की_अवधि दिन_-_रात सौर_दिन सौर_दिन_का_मतलब सौर_दिवस
bn:00000089n	पच्चीस २५ 25 xxv
bn:00000092n	अट्ठाईस २८ 28 xxviii
bn:00000093n	उनतीस २९ 29 xxix
bn:00000100n	३ 3 तीन iii ternion terzetto ड्यूस_ऐस तीनगुना त्रिगुट त्रिपदी
bn:00000104n	तीस ३० त्रिंशत् 30
bn:00000105n	30_मिनट आधे_घंटे_के
bn:00000111n	४ 4 चार quatern quaternions tetractys tetrad चतुष्कत्व चौका लिटिल_जो
bn:00000119n	५ पाँच 5 पंचक पंचायत लिटिल_चांद
bn:00000123n	५० पचास पंजाह 50
bn:00000125n	छह ६ छः 6 sextet sextuplet sise आधा_दर्जन कप्तान_हिक्स छक्का षड्बंधक
bn:00000127n	घंटा घंटे 60_मिनट
