sentence_id	text	translation	lemma	translation_token	translation_lemma
d000.s000	U.N. group drafts plan to reduce emissions	यू.एन.टि. समूह मसौदा योजना ताकि उत्सर्जन कम हो सके	u.n. group draft plan to reduce emission	यू.एन.टि. समूह मसौदा योजना ताकि उत्सर्जन कम हो सके	यू.एन.टि. समूह मसौदा योजना ताकि उत्सर्जन कम हो सके
d000.s001	The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .	U.N.N-N के जलवायु सम्मेलन की विशेषता इतनी दूर तक अनियंत्रित पोस्टिंग और आपसी पुनर्वास - - एक दस्तावेज़ के रिलीज़ के साथ शुक्रवार को फिर से केंद्रित किया अगले 40 वर्षों के दौरान, अमीर राष्ट्रों के दबाव का सामना करने के लिए पिछले 40 साल के दौरान.	the u.n.-sponsored climate conference -- characterize so far by unruly posturing and mutual recrimination -- gain renew focus friday with the release of a document outline ambitious greenhouse-gas reduction over the next 40 year , with industrialize nation shoulder most of the burden in the near term .	U.N.N-N के जलवायु सम्मेलन की विशेषता इतनी दूर तक अनियंत्रित पोस्टिंग और आपसी पुनर्वास - - एक दस्तावेज़ के रिलीज़ के साथ शुक्रवार को फिर से केंद्रित किया अगले 40 वर्षों के दौरान, अमीर राष्ट्रों के दबाव का सामना करने के लिए पिछले 40 साल के दौरान.	U.N.N-N के जलवायु सम्मेलन की विशेषता इतनी दूर तक अनियंत्रित पोस्टिंग और आपसी पुनर्वास - - एक दस्तावेज़ के रिलीज़ के साथ शुक्रवार को फिर से केंद्रित किया अगले 40 वर्षों के दौरान, अमीर राष्ट्रों के दबाव का सामना करने के लिए पिछले 40 साल के दौरान.
d000.s002	The text , which could provide the basis for a final political deal to regulate greenhouse gases , highlighted the remaining obstacles as much as it illuminated a path forward .	इस पाठ में, जो एक अंतिम राजनीतिक सौदा प्रदान कर सकता था, ग्रीनहाउस गैसों को नियंत्रित करने के लिए आधार प्रदान कर सकता था ।	the text , which could provide the basis for a final political deal to regulate greenhouse_gas , highlight the remain obstacle as much as it illuminate a path forward .	इस पाठ में, जो एक अंतिम राजनीतिक सौदा प्रदान कर सकता था, ग्रीनहाउस गैसों को नियंत्रित करने के लिए आधार प्रदान कर सकता था ।	इस पाठ में, जो एक अंतिम राजनीतिक सौदा प्रदान कर सकता था, ग्रीनहाउस गैसों को नियंत्रित करने के लिए आधार प्रदान कर सकता था ।
d000.s003	But it was seen as an important advance in a negotiation that is running out of time , with more than 100 world leaders arriving in Copenhagen next week .	लेकिन यह एक अति - महत्त्वपूर्ण परिवर्तन के रूप में देखा गया जो समय के बाहर चल रहा है, और अगले सप्ताह कोपेनहेगन में १०० से भी ज़्यादा विश्‍व नेताओं के साथ ।	but it be see as a important advance in a negotiation that be run out of time , with more than 100 world leader arrive in copenhagen next week .	लेकिन यह एक अति - महत्त्वपूर्ण परिवर्तन के रूप में देखा गया जो समय के बाहर चल रहा है, और अगले सप्ताह कोपेनहेगन में १०० से भी ज़्यादा विश्‍व नेताओं के साथ ।	लेकिन यह एक अति - महत्त्वपूर्ण परिवर्तन के रूप में देखा गया जो समय के बाहर चल रहा है, और अगले सप्ताह कोपेनहेगन में १०० से भी ज़्यादा विश्‍व नेताओं के साथ ।
d000.s004	Forged by a U.N. ad-hoc working group , the text is silent on how much money rich countries would give poor ones to cope with global warming over the short and long term .	यू. एन. एन. ए. ए. ए. ए. ए. ए.	forge by a u.n. ad-hoc working_group , the text be silent on how much money rich country would give poor one to cope with global_warming over the short and long term .	यू. एन. एन. ए. ए. ए. ए. ए. ए.	यू. एन. एन. ए. ए. ए. ए. ए. ए.
d000.s005	And it provides a range of options for the key questions , including how developed and major emerging economies would cut their carbon output , and what would be the upper limit of global temperature rise that policymakers would be willing to tolerate .	और यह मुख्य प्रश्‍नों के लिए विकल्पों की एक सीमा प्रदान करता है, जिसमें वे अपने कार्बन आउटपुट में कितना विकसित और बड़ा उभरने वाले होते, और विश्‍वव्यापी तापमान की ऊपरी सीमा क्या होती जो नीति बनानेवालों को सहन करने के लिए तैयार होता ।	and it provide a range of option for the key question , include how developed and major emerge economy would cut they carbon output , and what would be the upper_limit of global temperature rise that policymaker would be willing to tolerate .	और यह मुख्य प्रश्‍नों के लिए विकल्पों की एक सीमा प्रदान करता है, जिसमें वे अपने कार्बन आउटपुट में कितना विकसित और बड़ा उभरने वाले होते, और विश्‍वव्यापी तापमान की ऊपरी सीमा क्या होती जो नीति बनानेवालों को सहन करने के लिए तैयार होता ।	और यह मुख्य प्रश्‍नों के लिए विकल्पों की एक सीमा प्रदान करता है, जिसमें वे अपने कार्बन आउटपुट में कितना विकसित और बड़ा उभरने वाले होते, और विश्‍वव्यापी तापमान की ऊपरी सीमा क्या होती जो नीति बनानेवालों को सहन करने के लिए तैयार होता ।
d000.s006	It gives a lot of flexibility to the process , said John Coequyt , senior Washington representative for the Sierra Club .	इस प्रक्रिया के लिए बहुत - से फेरबदल किए जाते हैं ।	it give a lot of flexibility to the process , say john coequyt , senior washington representative for the sierra club .	इस प्रक्रिया के लिए बहुत - से फेरबदल किए जाते हैं ।	इस प्रक्रिया के लिए बहुत - से फेरबदल किए जाते हैं ।
d000.s007	Michael Zammit Cutajar , who drafted the six-page document , boiled down a 180-page negotiation text to focus on what the U.N. 's top climate official , Yvo de Boer , described as `` the big picture . ''	माइकल Jueje, जो छह पृष्ठ के दस्तावेज़ का समर्थन करते हैं, एक 180-पृष्ठ पाठ तैयार करता है जो कि यू.N.N.एस.एस.एस.एस.एस.केआईडी , यू.	michael zammit cutajar , who draft the six-page document , boil down a 180-page negotiation text to focus on what the u.n. 's top climate official , yvo de boer , describe as `` the big picture . ''	माइकल Jueje, जो छह पृष्ठ के दस्तावेज़ का समर्थन करते हैं, एक 180-पृष्ठ पाठ तैयार करता है जो कि यू.N.N.एस.एस.एस.एस.एस.केआईडी , यू.	माइकल Jueje, जो छह पृष्ठ के दस्तावेज़ का समर्थन करते हैं, एक 180-पृष्ठ पाठ तैयार करता है जो कि यू.N.N.एस.एस.एस.एस.एस.केआईडी , यू.
d000.s008	It shows the outlines for a possible deal , in which industrial nations would collectively cut their emissions by 2020 by 25 to 45 percent compared with 1990 levels , while major developing countries would reduce theirs during the same period by 15 to 30 percent .	यह दिखाता है कि एक संभव सौदा के लिए, जिस में औद्योगिक राष्ट्र १९९० के स्तर की तुलना में २० से ४५ प्रतिशत की तुलना में अपनी उत्सर्जन को सामूहिक रूप से काट लेंगे, जबकि बड़े विकासशील देश उसी अवधि में १५ से ३० प्रतिशत तक अपना ख़र्च करेंगे ।	it show the outline for a possible deal , in which industrial nation would collectively cut they emission by 2020 by 25 to 45 percent compare with 1990 level , while major developing_country would reduce theirs during the same period by 15 to 30 percent .	यह दिखाता है कि एक संभव सौदा के लिए, जिस में औद्योगिक राष्ट्र १९९० के स्तर की तुलना में २० से ४५ प्रतिशत की तुलना में अपनी उत्सर्जन को सामूहिक रूप से काट लेंगे, जबकि बड़े विकासशील देश उसी अवधि में १५ से ३० प्रतिशत तक अपना ख़र्च करेंगे ।	यह दिखाता है कि एक संभव सौदा के लिए, जिस में औद्योगिक राष्ट्र १९९० के स्तर की तुलना में २० से ४५ प्रतिशत की तुलना में अपनी उत्सर्जन को सामूहिक रूप से काट लेंगे, जबकि बड़े विकासशील देश उसी अवधि में १५ से ३० प्रतिशत तक अपना ख़र्च करेंगे ।
d000.s009	Together , the countries would cut emissions between 50 and 95 percent by 2050 .	साथ ही, देश ५० से ९५ प्रतिशत के बीच उत्सर्जन को २०५० तक काट देते ।	together , the country would cut emission between 50 and 95 percent by 2050 .	साथ ही, देश ५० से ९५ प्रतिशत के बीच उत्सर्जन को २०५० तक काट देते ।	साथ ही, देश ५० से ९५ प्रतिशत के बीच उत्सर्जन को २०५० तक काट देते ।
